start,device,context,block,name,stream,shared memory,grid,end,cat,correlation,dur
1732610751957926.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"784,1,1",1732610751957929.8,conc_kernel,3309,3.136
1732610751958036.2,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"25,16,1",1732610751958040.0,conc_kernel,3327,3.776
1732610751958045.0,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,16,512",1732610751958080.2,conc_kernel,3329,35.104
1732610751958081.0,0,1,"128,1,1",_ZN17cutlass__5x_cudnn6KernelI66cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4EEvNT_6ParamsE,7,73728,"28,2,1",1732610751958173.8,conc_kernel,3333,92.736
1732610751958174.5,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nhwcToNchwKernelIfffLb1ELb0EL21cudnnKernelDataType_t0EEEvNS0_18nhwc2nchw_params_tIT1_EEPKT_PT0_,7,4224,"25,16,1",1732610751958178.5,conc_kernel,3337,4.096
1732610751958179.2,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"1568,1,1",1732610751958184.2,conc_kernel,3343,4.768
1732610751958184.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",1732610751958187.0,conc_kernel,3348,2.304
1732610751958227.2,0,1,"512,1,1",_ZN5cudnn24bn_fw_tr_1C11_singlereadIfLi512ELb1ELi1ELi2ELi0EEEvNS_18bn_fw_tr_1C11_argsIT_EE,7,4240,"512,1,1",1732610751958237.8,conc_kernel,3390,10.592
1732610751958296.2,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"784,1,1",1732610751958299.8,conc_kernel,3407,3.2
1732610751958345.8,0,1,"256,1,1",_ZN2at6native52_GLOBAL__N__e57809e0_19_DilatedMaxPool2d_cu_6258b57421max_pool_forward_nchwIfEEviPKT_llliiiiiiiiiiPS3_Pl,7,0,"392,1,1",1732610751958350.8,conc_kernel,3421,4.768
1732610751985322.8,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"7,16,1",1732610751985325.5,conc_kernel,4115,2.848
1732610751985333.2,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,16,512",1732610751985367.5,conc_kernel,4117,34.272
1732610751986829.2,0,1,"128,1,1",sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,7,100352,"8,2,4",1732610751986867.8,conc_kernel,4123,38.304
1732610751986868.2,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nhwcToNchwKernelIfffLb1ELb0EL21cudnnKernelDataType_t0EEEvNS0_18nhwc2nchw_params_tIT1_EEPKT_PT0_,7,4224,"7,16,1",1732610751986871.5,conc_kernel,4126,3.328
1732610751986959.0,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"392,1,1",1732610751986962.5,conc_kernel,4132,3.616
1732610751987054.2,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",1732610751987056.8,conc_kernel,4137,2.304
1732610751987205.2,0,1,"512,1,1",_ZN5cudnn24bn_fw_tr_1C11_singlereadIfLi512ELb1ELi1ELi2ELi0EEEvNS_18bn_fw_tr_1C11_argsIT_EE,7,2192,"512,1,1",1732610751987214.8,conc_kernel,4179,9.472
1732610751987303.5,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"196,1,1",1732610751987306.0,conc_kernel,4196,2.464
1732610751987412.0,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"7,16,1",1732610751987414.8,conc_kernel,4214,2.912
1732610751987420.0,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,16,512",1732610751987453.8,conc_kernel,4216,33.727
