ts,correlation,ph,dur,tid,pid,cbid,cat,External id,name
6444517262828.532,423,X,0.533,1221244,1221244,205,cuda_runtime,76,cudaDeviceGetStreamPriorityRange
6444517262842.963,427,X,8.641,1221244,1221244,211,cuda_runtime,76,cudaLaunchKernel
6444517262853.674,429,X,4.721,1221244,1221244,211,cuda_runtime,76,cudaLaunchKernel
6444517262862.463,431,X,0.287,1221244,1221244,11,cuda_runtime,76,cudaPeekAtLastError
6444517262867.383,432,X,1.536,1221244,1221244,273,cuda_runtime,76,cudaFuncSetAttribute
6444517262869.238,433,X,0.594,1221244,1221244,273,cuda_runtime,76,cudaFuncSetAttribute
6444517262870.219,434,X,6.142,1221244,1221244,430,cuda_runtime,76,cudaLaunchKernelExC
6444517262877.553,436,X,0.138,1221244,1221244,11,cuda_runtime,76,cudaPeekAtLastError
6444517262932.236,443,X,7.973,1221244,1221244,211,cuda_runtime,77,cudaLaunchKernel
6444517263004.686,457,X,2.335,1221244,1221244,135,cuda_runtime,80,cudaEventRecord
6444517263007.376,458,X,0.709,1221244,1221244,317,cuda_runtime,80,cudaStreamIsCapturing
6444517263008.399,459,X,0.585,1221244,1221244,203,cuda_runtime,80,cudaStreamGetPriority
6444517263009.282,460,X,0.58,1221244,1221244,205,cuda_runtime,80,cudaDeviceGetStreamPriorityRange
6444517263049.418,484,X,1.307,1221244,1221244,135,cuda_runtime,80,cudaEventRecord
6444517263050.933,485,X,0.493,1221244,1221244,317,cuda_runtime,80,cudaStreamIsCapturing
6444517263051.625,486,X,0.357,1221244,1221244,203,cuda_runtime,80,cudaStreamGetPriority
6444517263052.202,487,X,0.376,1221244,1221244,205,cuda_runtime,80,cudaDeviceGetStreamPriorityRange
6444517263064.508,495,X,8.445,1221244,1221244,211,cuda_runtime,80,cudaLaunchKernel
6444517263097.934,501,X,6.968,1221244,1221244,211,cuda_runtime,88,cudaLaunchKernel
6444517263139.721,508,X,6.911,1221244,1221244,211,cuda_runtime,90,cudaLaunchKernel
6444517263233.8,519,X,1.438,1221244,1221244,317,cuda_runtime,94,cudaStreamIsCapturing
6444517263235.818,520,X,110.36,1221244,1221244,20,cuda_runtime,94,cudaMalloc
6444517263360.245,525,X,2.765,1221244,1221244,135,cuda_runtime,94,cudaEventRecord
6444517263363.459,526,X,0.683,1221244,1221244,317,cuda_runtime,94,cudaStreamIsCapturing
6444517263364.483,527,X,0.757,1221244,1221244,203,cuda_runtime,94,cudaStreamGetPriority
6444517263365.714,528,X,0.557,1221244,1221244,205,cuda_runtime,94,cudaDeviceGetStreamPriorityRange
6444517263387.839,532,X,13.513,1221244,1221244,211,cuda_runtime,94,cudaLaunchKernel
6444517263403.93,534,X,5.661,1221244,1221244,211,cuda_runtime,94,cudaLaunchKernel
6444517263415.475,536,X,2.0,1221244,1221244,273,cuda_runtime,94,cudaFuncSetAttribute
6444517263417.887,537,X,0.242,1221244,1221244,11,cuda_runtime,94,cudaPeekAtLastError
6444517263419.639,538,X,7.12,1221244,1221244,211,cuda_runtime,94,cudaLaunchKernel
6444517263427.896,541,X,0.113,1221244,1221244,11,cuda_runtime,94,cudaPeekAtLastError
6444517263431.546,542,X,5.78,1221244,1221244,211,cuda_runtime,94,cudaLaunchKernel
6444517263513.424,550,X,8.202,1221244,1221244,211,cuda_runtime,95,cudaLaunchKernel
6444517263597.022,564,X,2.536,1221244,1221244,135,cuda_runtime,98,cudaEventRecord
6444517263600.082,565,X,0.745,1221244,1221244,317,cuda_runtime,98,cudaStreamIsCapturing
6444517263601.195,566,X,0.746,1221244,1221244,203,cuda_runtime,98,cudaStreamGetPriority
6444517263602.427,567,X,0.598,1221244,1221244,205,cuda_runtime,98,cudaDeviceGetStreamPriorityRange
6444517263646.325,591,X,1.335,1221244,1221244,135,cuda_runtime,98,cudaEventRecord
6444517263647.877,592,X,0.492,1221244,1221244,317,cuda_runtime,98,cudaStreamIsCapturing
6444517263648.565,593,X,0.426,1221244,1221244,203,cuda_runtime,98,cudaStreamGetPriority
6444517263649.291,594,X,0.369,1221244,1221244,205,cuda_runtime,98,cudaDeviceGetStreamPriorityRange
6444517263662.48,602,X,2.381,1221244,1221244,273,cuda_runtime,98,cudaFuncSetAttribute
6444517263665.76,603,X,9.256,1221244,1221244,211,cuda_runtime,98,cudaLaunchKernel
6444517263722.738,611,X,8.054,1221244,1221244,211,cuda_runtime,107,cudaLaunchKernel
6444517263805.186,624,X,2.186,1221244,1221244,135,cuda_runtime,111,cudaEventRecord
6444517263807.759,625,X,0.597,1221244,1221244,317,cuda_runtime,111,cudaStreamIsCapturing
6444517263808.646,626,X,0.597,1221244,1221244,203,cuda_runtime,111,cudaStreamGetPriority
6444517263809.541,627,X,0.551,1221244,1221244,205,cuda_runtime,111,cudaDeviceGetStreamPriorityRange
6444517263832.515,631,X,9.388,1221244,1221244,211,cuda_runtime,111,cudaLaunchKernel
6444517263844.062,633,X,4.194,1221244,1221244,211,cuda_runtime,111,cudaLaunchKernel
6444517263853.988,635,X,0.276,1221244,1221244,11,cuda_runtime,111,cudaPeekAtLastError
6444517263859.774,636,X,1.589,1221244,1221244,273,cuda_runtime,111,cudaFuncSetAttribute
6444517263861.608,637,X,0.587,1221244,1221244,273,cuda_runtime,111,cudaFuncSetAttribute
6444517263862.607,638,X,6.673,1221244,1221244,430,cuda_runtime,111,cudaLaunchKernelExC
6444517263870.461,640,X,0.141,1221244,1221244,11,cuda_runtime,111,cudaPeekAtLastError
6444517263930.729,647,X,8.018,1221244,1221244,211,cuda_runtime,112,cudaLaunchKernel
6444517264005.584,661,X,2.408,1221244,1221244,135,cuda_runtime,115,cudaEventRecord
6444517264008.348,662,X,0.674,1221244,1221244,317,cuda_runtime,115,cudaStreamIsCapturing
6444517264009.35,663,X,0.65,1221244,1221244,203,cuda_runtime,115,cudaStreamGetPriority
6444517264010.319,664,X,0.565,1221244,1221244,205,cuda_runtime,115,cudaDeviceGetStreamPriorityRange
6444517264050.564,688,X,1.346,1221244,1221244,135,cuda_runtime,115,cudaEventRecord
6444517264052.408,689,X,0.473,1221244,1221244,317,cuda_runtime,115,cudaStreamIsCapturing
6444517264053.121,690,X,0.406,1221244,1221244,203,cuda_runtime,115,cudaStreamGetPriority
6444517264053.865,691,X,0.413,1221244,1221244,205,cuda_runtime,115,cudaDeviceGetStreamPriorityRange
6444517264065.562,699,X,1.725,1221244,1221244,273,cuda_runtime,115,cudaFuncSetAttribute
6444517264068.211,700,X,8.774,1221244,1221244,211,cuda_runtime,115,cudaLaunchKernel
6444517264169.246,712,X,2.029,1221244,1221244,135,cuda_runtime,126,cudaEventRecord
6444517264171.629,713,X,0.517,1221244,1221244,317,cuda_runtime,126,cudaStreamIsCapturing
