ts,Input type,ph,Sequence number,Ev Idx,dur,tid,Fwd thread id,pid,Concrete Inputs,cat,Input Strides,Input Dims,External id,Record function id,name
6444517261626.297,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,31,7.364,1221244,,1221244,"[""[64]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",32,0,aten::empty
6444517261635.711,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,32,6.342,1221244,,1221244,"[""[64]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",33,0,aten::empty
6444517261645.65,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,33,4.74,1221244,,1221244,"[""[0]"", ""0"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",34,0,aten::empty
6444517261659.258,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,34,4.753,1221244,,1221244,"[""[0]"", ""0"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",35,0,aten::empty
6444517261719.1,"[""float""]",X,76,35,39.884,1221244,0,1221244,"[""""]",cpu_op,"[[200704, 3136, 56, 1]]","[[5, 64, 56, 56]]",36,0,aten::relu_
6444517261725.81,"[""float"", ""Scalar""]",X,,36,22.507,1221244,,1221244,"["""", ""0""]",cpu_op,"[[200704, 3136, 56, 1], []]","[[5, 64, 56, 56], []]",37,0,aten::clamp_min_
6444517261796.802,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",X,77,37,233.571,1221244,0,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], []]",38,0,aten::conv2d
6444517261800.717,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",X,77,38,228.835,1221244,0,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",39,0,aten::convolution
6444517261808.861,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,39,216.904,1221244,,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], [], [], [], [], []]",40,0,aten::_convolution
6444517261815.605,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,40,207.62,1221244,,1221244,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",41,0,aten::cudnn_convolution
6444517262084.627,"[""long int"", ""long int"", ""Scalar""]",X,78,41,27.201,1221244,0,1221244,"["""", """", ""1""]",cpu_op,"[[], [], []]","[[], [], []]",42,0,aten::add_
6444517262143.321,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,78,42,126.393,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",43,0,aten::batch_norm
6444517262146.118,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,78,43,123.112,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",44,0,aten::_batch_norm_impl_index
6444517262150.87,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar""]",X,78,44,117.408,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], []]",45,0,aten::cudnn_batch_norm
6444517262167.438,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,45,16.91,1221244,,1221244,"["""", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[200704, 3136, 56, 1], [], [], [], [], []]","[[5, 64, 56, 56], [], [], [], [], []]",46,0,aten::empty_like
6444517262172.568,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,46,10.589,1221244,,1221244,"[""[5, 64, 56, 56]"", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",47,0,aten::empty
6444517262200.265,"[""float"", ""ScalarList""]",X,,47,2.314,1221244,,1221244,"["""", ""[1, 64, 1, 1]""]",cpu_op,"[[1], []]","[[64], []]",48,0,aten::view
6444517262206.425,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,48,6.691,1221244,,1221244,"[""[64]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",49,0,aten::empty
6444517262215.17,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,49,10.236,1221244,,1221244,"[""[64]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",50,0,aten::empty
6444517262229.128,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,50,4.812,1221244,,1221244,"[""[0]"", ""0"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",51,0,aten::empty
6444517262243.248,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,51,4.938,1221244,,1221244,"[""[0]"", ""0"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",52,0,aten::empty
6444517262279.485,"[""float"", ""float"", ""Scalar""]",X,79,52,28.705,1221244,0,1221244,"["""", """", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [200704, 3136, 56, 1], []]","[[5, 64, 56, 56], [5, 64, 56, 56], []]",53,0,aten::add_
6444517262328.098,"[""float""]",X,80,53,29.757,1221244,0,1221244,"[""""]",cpu_op,"[[200704, 3136, 56, 1]]","[[5, 64, 56, 56]]",54,0,aten::relu_
6444517262333.719,"[""float"", ""Scalar""]",X,,54,17.295,1221244,,1221244,"["""", ""0""]",cpu_op,"[[200704, 3136, 56, 1], []]","[[5, 64, 56, 56], []]",55,0,aten::clamp_min_
6444517262396.407,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",X,81,55,107.577,1221244,0,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], []]",56,0,aten::conv2d
6444517262400.393,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",X,81,56,102.889,1221244,0,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",57,0,aten::convolution
6444517262411.954,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,57,88.924,1221244,,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], [], [], [], [], []]",58,0,aten::_convolution
6444517262418.394,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,58,81.07,1221244,,1221244,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",59,0,aten::cudnn_convolution
6444517262543.595,"[""long int"", ""long int"", ""Scalar""]",X,82,59,21.987,1221244,0,1221244,"["""", """", ""1""]",cpu_op,"[[], [], []]","[[], [], []]",60,0,aten::add_
6444517262592.353,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,82,60,111.975,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",61,0,aten::batch_norm
6444517262594.592,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,82,61,109.212,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",62,0,aten::_batch_norm_impl_index
