ts,ph,tid,pid,cat,bp,id,name
6444517265831.221,f,1221244,1221244,ac2g,e,1081,ac2g
6444517265831.936,f,1221244,1221244,ac2g,e,1082,ac2g
6444517265832.589,f,1221244,1221244,ac2g,e,1083,ac2g
6444517265844.621,f,1221244,1221244,ac2g,e,1091,ac2g
6444517265857.155,f,7,0,ac2g,e,1092,ac2g
6444517265847.333,s,1221244,1221244,ac2g,,1092,ac2g
6444517265912.1,f,7,0,ac2g,e,1100,ac2g
6444517265903.8,s,1221244,1221244,ac2g,,1100,ac2g
6444517265991.474,f,1221244,1221244,ac2g,e,1111,ac2g
6444517265993.363,f,1221244,1221244,ac2g,e,1112,ac2g
6444517266122.441,f,1221244,1221244,ac2g,e,1117,ac2g
6444517266125.725,f,1221244,1221244,ac2g,e,1118,ac2g
6444517266126.824,f,1221244,1221244,ac2g,e,1119,ac2g
6444517266127.856,f,1221244,1221244,ac2g,e,1120,ac2g
6444517266160.58,f,7,0,ac2g,e,1124,ac2g
6444517266147.514,s,1221244,1221244,ac2g,,1124,ac2g
6444517266168.42,f,7,0,ac2g,e,1126,ac2g
6444517266162.961,s,1221244,1221244,ac2g,,1126,ac2g
6444517266172.041,f,1221244,1221244,ac2g,e,1128,ac2g
6444517266174.368,f,1221244,1221244,ac2g,e,1129,ac2g
6444517266183.108,f,7,0,ac2g,e,1130,ac2g
6444517266175.754,s,1221244,1221244,ac2g,,1130,ac2g
6444517266183.852,f,1221244,1221244,ac2g,e,1133,ac2g
6444517266210.948,f,7,0,ac2g,e,1134,ac2g
6444517266186.469,s,1221244,1221244,ac2g,,1134,ac2g
6444517266278.053,f,7,0,ac2g,e,1142,ac2g
6444517266268.784,s,1221244,1221244,ac2g,,1142,ac2g
6444517266350.478,f,1221244,1221244,ac2g,e,1156,ac2g
6444517266353.496,f,1221244,1221244,ac2g,e,1157,ac2g
6444517266354.596,f,1221244,1221244,ac2g,e,1158,ac2g
6444517266355.711,f,1221244,1221244,ac2g,e,1159,ac2g
6444517266394.301,f,1221244,1221244,ac2g,e,1183,ac2g
6444517266395.829,f,1221244,1221244,ac2g,e,1184,ac2g
6444517266396.532,f,1221244,1221244,ac2g,e,1185,ac2g
6444517266397.172,f,1221244,1221244,ac2g,e,1186,ac2g
6444517266412.533,f,1221244,1221244,ac2g,e,1194,ac2g
6444517266424.357,f,7,0,ac2g,e,1195,ac2g
6444517266415.504,s,1221244,1221244,ac2g,,1195,ac2g
6444517266502.384,f,1221244,1221244,ac2g,e,1205,ac2g
6444517266504.543,f,1221244,1221244,ac2g,e,1206,ac2g
6444517266645.798,f,1221244,1221244,ac2g,e,1211,ac2g
6444517266648.938,f,1221244,1221244,ac2g,e,1212,ac2g
6444517266649.975,f,1221244,1221244,ac2g,e,1213,ac2g
6444517266651.01,f,1221244,1221244,ac2g,e,1214,ac2g
6444517266685.734,f,7,0,ac2g,e,1218,ac2g
6444517266670.907,s,1221244,1221244,ac2g,,1218,ac2g
