start,pid,tid,name,cbid,end,cat,correlation,dur
1732610751724183.8,1943033,1641977664,cuGetProcAddress,626,1732610751724184.0,cuda_driver,116,0.265
1732610751724184.0,1943033,1641977664,cuGetProcAddress,626,1732610751724184.5,cuda_driver,117,0.425
1732610751724184.5,1943033,1641977664,cuGetProcAddress,626,1732610751724184.8,cuda_driver,118,0.21
1732610751724185.0,1943033,1641977664,cuGetProcAddress,626,1732610751724185.5,cuda_driver,119,0.236
1732610751724185.5,1943033,1641977664,cuGetProcAddress,626,1732610751724185.8,cuda_driver,120,0.197
1732610751724186.0,1943033,1641977664,cuGetProcAddress,626,1732610751724186.2,cuda_driver,121,0.226
1732610751724186.2,1943033,1641977664,cuGetProcAddress,626,1732610751724186.5,cuda_driver,122,0.23
1732610751724186.8,1943033,1641977664,cuGetProcAddress,626,1732610751724187.2,cuda_driver,123,0.573
1732610751724187.5,1943033,1641977664,cuGetProcAddress,626,1732610751724187.8,cuda_driver,124,0.242
1732610751724187.8,1943033,1641977664,cuGetProcAddress,626,1732610751724188.0,cuda_driver,125,0.215
1732610751724188.2,1943033,1641977664,cuGetProcAddress,626,1732610751724188.5,cuda_driver,126,0.214
1732610751724188.5,1943033,1641977664,cuGetProcAddress,626,1732610751724188.8,cuda_driver,127,0.276
1732610751724189.0,1943033,1641977664,cuGetProcAddress,626,1732610751724189.2,cuda_driver,128,0.249
1732610751724189.2,1943033,1641977664,cuGetProcAddress,626,1732610751724189.5,cuda_driver,129,0.215
1732610751724189.8,1943033,1641977664,cuGetProcAddress,626,1732610751724190.0,cuda_driver,130,0.241
1732610751724190.0,1943033,1641977664,cuGetProcAddress,626,1732610751724190.5,cuda_driver,131,0.421
1732610751724190.8,1943033,1641977664,cuGetProcAddress,626,1732610751724190.8,cuda_driver,132,0.238
1732610751724191.0,1943033,1641977664,cuGetProcAddress,626,1732610751724191.5,cuda_driver,133,0.557
1732610751724191.8,1943033,1641977664,cuGetProcAddress,626,1732610751724192.0,cuda_driver,134,0.218
1732610751724192.0,1943033,1641977664,cuGetProcAddress,626,1732610751724192.2,cuda_driver,135,0.247
1732610751724192.5,1943033,1641977664,cuGetProcAddress,626,1732610751724192.8,cuda_driver,136,0.226
1732610751724192.8,1943033,1641977664,cuGetProcAddress,626,1732610751724193.2,cuda_driver,137,0.399
1732610751724193.5,1943033,1641977664,cuGetProcAddress,626,1732610751724193.8,cuda_driver,138,0.243
1732610751724193.8,1943033,1641977664,cuGetProcAddress,626,1732610751724194.0,cuda_driver,139,0.218
1732610751724194.2,1943033,1641977664,cuGetProcAddress,626,1732610751724194.2,cuda_driver,140,0.222
1732610751724194.5,1943033,1641977664,cuGetProcAddress,626,1732610751724195.0,cuda_driver,141,0.378
1732610751724195.0,1943033,1641977664,cuGetProcAddress,626,1732610751724195.5,cuda_driver,142,0.363
1732610751724195.5,1943033,1641977664,cuGetProcAddress,626,1732610751724196.2,cuda_driver,143,0.415
1732610751724196.2,1943033,1641977664,cuGetProcAddress,626,1732610751724196.5,cuda_driver,144,0.217
1732610751724196.8,1943033,1641977664,cuGetProcAddress,626,1732610751724197.2,cuda_driver,145,0.565
1732610751724197.5,1943033,1641977664,cuGetProcAddress,626,1732610751724197.5,cuda_driver,146,0.22
1732610751724197.8,1943033,1641977664,cuGetProcAddress,626,1732610751724198.0,cuda_driver,147,0.387
1732610751724198.2,1943033,1641977664,cuGetProcAddress,626,1732610751724198.5,cuda_driver,148,0.241
1732610751724198.8,1943033,1641977664,cuGetProcAddress,626,1732610751724198.8,cuda_driver,149,0.198
1732610751724199.0,1943033,1641977664,cuGetProcAddress,626,1732610751724199.2,cuda_driver,150,0.208
1732610751724199.2,1943033,1641977664,cuGetProcAddress,626,1732610751724199.8,cuda_driver,151,0.372
1732610751724199.8,1943033,1641977664,cuGetProcAddress,626,1732610751724200.0,cuda_driver,152,0.233
1732610751724200.2,1943033,1641977664,cuGetProcAddress,626,1732610751724200.5,cuda_driver,153,0.377
1732610751724200.8,1943033,1641977664,cuGetProcAddress,626,1732610751724201.0,cuda_driver,154,0.219
1732610751724201.0,1943033,1641977664,cuGetProcAddress,626,1732610751724201.5,cuda_driver,155,0.414
1732610751724201.8,1943033,1641977664,cuGetProcAddress,626,1732610751724201.8,cuda_driver,156,0.21
1732610751724202.0,1943033,1641977664,cuGetProcAddress,626,1732610751724202.5,cuda_driver,157,0.492
1732610751724202.5,1943033,1641977664,cuGetProcAddress,626,1732610751724203.0,cuda_driver,158,0.278
1732610751724203.0,1943033,1641977664,cuGetProcAddress,626,1732610751724203.5,cuda_driver,159,0.428
1732610751724203.5,1943033,1641977664,cuGetProcAddress,626,1732610751724203.8,cuda_driver,160,0.258
1732610751724204.0,1943033,1641977664,cuGetProcAddress,626,1732610751724204.2,cuda_driver,161,0.238
1732610751724204.2,1943033,1641977664,cuGetProcAddress,626,1732610751724204.8,cuda_driver,162,0.388
1732610751724204.8,1943033,1641977664,cuGetProcAddress,626,1732610751724205.2,cuda_driver,163,0.442
1732610751724205.5,1943033,1641977664,cuGetProcAddress,626,1732610751724205.8,cuda_driver,164,0.394
1732610751724206.0,1943033,1641977664,cuGetProcAddress,626,1732610751724206.8,cuda_driver,165,0.409
1732610751724206.8,1943033,1641977664,cuGetProcAddress,626,1732610751724207.2,cuda_driver,166,0.394
1732610751724207.2,1943033,1641977664,cuGetProcAddress,626,1732610751724207.5,cuda_driver,167,0.265
1732610751724207.8,1943033,1641977664,cuGetProcAddress,626,1732610751724208.0,cuda_driver,168,0.294
1732610751724208.2,1943033,1641977664,cuGetProcAddress,626,1732610751724208.5,cuda_driver,169,0.274
1732610751724208.8,1943033,1641977664,cuGetProcAddress,626,1732610751724209.0,cuda_driver,170,0.465
1732610751724209.2,1943033,1641977664,cuGetProcAddress,626,1732610751724209.8,cuda_driver,171,0.607
1732610751724210.0,1943033,1641977664,cuGetProcAddress,626,1732610751724210.5,cuda_driver,172,0.5
1732610751724210.5,1943033,1641977664,cuGetProcAddress,626,1732610751724211.0,cuda_driver,173,0.377
1732610751724211.0,1943033,1641977664,cuGetProcAddress,626,1732610751724211.8,cuda_driver,174,0.547
1732610751724211.8,1943033,1641977664,cuGetProcAddress,626,1732610751724212.0,cuda_driver,175,0.233
1732610751724212.2,1943033,1641977664,cuGetProcAddress,626,1732610751724212.5,cuda_driver,176,0.392
1732610751724212.8,1943033,1641977664,cuGetProcAddress,626,1732610751724213.2,cuda_driver,177,0.439
1732610751724213.2,1943033,1641977664,cuGetProcAddress,626,1732610751724213.5,cuda_driver,178,0.24
1732610751724213.8,1943033,1641977664,cuGetProcAddress,626,1732610751724214.0,cuda_driver,179,0.26
1732610751724214.0,1943033,1641977664,cuGetProcAddress,626,1732610751724214.2,cuda_driver,180,0.28
1732610751724214.5,1943033,1641977664,cuGetProcAddress,626,1732610751724214.8,cuda_driver,181,0.255
1732610751724214.8,1943033,1641977664,cuGetProcAddress,626,1732610751724215.2,cuda_driver,182,0.47
1732610751724215.5,1943033,1641977664,cuGetProcAddress,626,1732610751724216.0,cuda_driver,183,0.414
1732610751724216.0,1943033,1641977664,cuGetProcAddress,626,1732610751724216.2,cuda_driver,184,0.22
1732610751724216.5,1943033,1641977664,cuGetProcAddress,626,1732610751724216.8,cuda_driver,185,0.258
1732610751724216.8,1943033,1641977664,cuGetProcAddress,626,1732610751724217.0,cuda_driver,186,0.248
1732610751724217.5,1943033,1641977664,cuGetProcAddress,626,1732610751724217.8,cuda_driver,187,0.232
1732610751724217.8,1943033,1641977664,cuGetProcAddress,626,1732610751724218.0,cuda_driver,188,0.24
1732610751724218.2,1943033,1641977664,cuGetProcAddress,626,1732610751724218.8,cuda_driver,189,0.427
1732610751724218.8,1943033,1641977664,cuGetProcAddress,626,1732610751724219.2,cuda_driver,190,0.544
1732610751724219.5,1943033,1641977664,cuGetProcAddress,626,1732610751724219.8,cuda_driver,191,0.263
1732610751724220.0,1943033,1641977664,cuGetProcAddress,626,1732610751724220.5,cuda_driver,192,0.468
1732610751724220.5,1943033,1641977664,cuGetProcAddress,626,1732610751724220.8,cuda_driver,193,0.272
1732610751724221.0,1943033,1641977664,cuGetProcAddress,626,1732610751724221.2,cuda_driver,194,0.334
1732610751724221.5,1943033,1641977664,cuGetProcAddress,626,1732610751724221.8,cuda_driver,195,0.323
1732610751724221.8,1943033,1641977664,cuGetProcAddress,626,1732610751724222.2,cuda_driver,196,0.282
