start,device,context,block,name,stream,shared memory,grid,end,cat,correlation,dur
1732547350186721.8,0,1,"512,1,1",_ZN5cudnn24bn_fw_tr_1C11_singlereadIfLi512ELb1ELi1ELi2ELi0EEEvNS_18bn_fw_tr_1C11_argsIT_EE,7,14480,"256,1,1",0.0,kernel,2829,-1732547350186721.8
1732547350186800.0,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1568,1,1",0.0,kernel,2846,-1732547350186800.0
1732547350186883.2,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"98,8,1",0.0,kernel,2864,-1732547350186883.2
1732547350186892.5,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,8,256",0.0,kernel,2866,-1732547350186892.5
1732547350186914.8,0,1,"128,1,1",sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,7,49152,"2,25,8",0.0,kernel,2870,-1732547350186914.8
1732547350186997.2,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"3136,1,1",0.0,kernel,2877,-1732547350186997.2
1732547350187005.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",0.0,kernel,2882,-1732547350187005.8
1732547350187069.0,0,1,"512,1,1",_ZN5cudnn24bn_fw_tr_1C11_singlereadIfLi512ELb1ELi1ELi2ELi0EEEvNS_18bn_fw_tr_1C11_argsIT_EE,7,14480,"256,1,1",0.0,kernel,2924,-1732547350187069.0
1732547350187135.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1568,1,1",0.0,kernel,2941,-1732547350187135.8
1732547350187190.5,0,1,"256,1,1",_ZN2at6native52_GLOBAL__N__e57809e0_19_DilatedMaxPool2d_cu_6258b57421max_pool_forward_nchwIfEEviPKT_llliiiiiiiiiiPS3_Pl,7,0,"784,1,1",0.0,kernel,2955,-1732547350187190.5
1732547350189040.8,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"25,8,1",0.0,kernel,3049,-1732547350189040.8
1732547350189049.8,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,8,512",0.0,kernel,3051,-1732547350189049.8
1732547350189070.2,0,1,"128,1,1",_ZN17cutlass__5x_cudnn6KernelI66cutlass_tensorop_s1688fprop_optimized_tf32_128x64_16x6_nhwc_align4EEvNT_6ParamsE,7,73728,"28,2,1",0.0,kernel,3055,-1732547350189070.2
1732547350197696.5,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nhwcToNchwKernelIfffLb1ELb0EL21cudnnKernelDataType_t0EEEvNS0_18nhwc2nchw_params_tIT1_EEPKT_PT0_,7,4224,"25,16,1",0.0,kernel,3059,-1732547350197696.5
1732547350197796.2,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"1568,1,1",0.0,kernel,3065,-1732547350197796.2
1732547350197872.2,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",0.0,kernel,3070,-1732547350197872.2
1732547350198013.0,0,1,"512,1,1",_ZN5cudnn24bn_fw_tr_1C11_singlereadIfLi512ELb1ELi1ELi2ELi0EEEvNS_18bn_fw_tr_1C11_argsIT_EE,7,4240,"512,1,1",0.0,kernel,3112,-1732547350198013.0
1732547350198101.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"784,1,1",0.0,kernel,3129,-1732547350198101.8
1732547350200125.2,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"25,16,1",0.0,kernel,3229,-1732547350200125.2
1732547350200135.8,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,16,512",0.0,kernel,3231,-1732547350200135.8
1732547350200174.0,0,1,"128,1,1",_ZN17cutlass__5x_cudnn6KernelI66cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4EEvNT_6ParamsE,7,73728,"28,2,1",0.0,kernel,3235,-1732547350200174.0
