ts,ph,tid,pid,cat,bp,id,name
6083647118012.041,f,383547,383547,ac2g,e,185,ac2g
6083647118012.683,f,383547,383547,ac2g,e,186,ac2g
6083647118013.324,f,383547,383547,ac2g,e,187,ac2g
6083647121153.736,f,7,0,ac2g,e,195,ac2g
6083647118025.804,s,383547,383547,ac2g,,195,ac2g
6083647121219.241,f,7,0,ac2g,e,207,ac2g
6083647118096.234,s,383547,383547,ac2g,,207,ac2g
6083647121265.929,f,7,0,ac2g,e,215,ac2g
6083647118134.752,s,383547,383547,ac2g,,215,ac2g
6083647121313.0,f,7,0,ac2g,e,234,ac2g
6083647118240.781,s,383547,383547,ac2g,,234,ac2g
6083647118376.031,f,383547,383547,ac2g,e,245,ac2g
6083647118379.171,f,383547,383547,ac2g,e,246,ac2g
6083647118380.325,f,383547,383547,ac2g,e,247,ac2g
6083647118381.523,f,383547,383547,ac2g,e,248,ac2g
6083647121358.216,f,7,0,ac2g,e,252,ac2g
6083647118400.973,s,383547,383547,ac2g,,252,ac2g
6083647121369.352,f,7,0,ac2g,e,254,ac2g
6083647118415.334,s,383547,383547,ac2g,,254,ac2g
6083647118425.651,f,383547,383547,ac2g,e,256,ac2g
6083647118432.847,f,383547,383547,ac2g,e,257,ac2g
6083647118435.492,f,383547,383547,ac2g,e,258,ac2g
6083647121374.12,f,7,0,ac2g,e,259,ac2g
6083647118436.517,s,383547,383547,ac2g,,259,ac2g
6083647118444.552,f,383547,383547,ac2g,e,261,ac2g
6083647121437.608,f,7,0,ac2g,e,268,ac2g
6083647118473.717,s,383547,383547,ac2g,,268,ac2g
6083647121455.912,f,7,0,ac2g,e,274,ac2g
6083647118536.271,s,383547,383547,ac2g,,274,ac2g
6083647118614.183,f,383547,383547,ac2g,e,288,ac2g
6083647118617.238,f,383547,383547,ac2g,e,289,ac2g
6083647118618.471,f,383547,383547,ac2g,e,290,ac2g
6083647118619.523,f,383547,383547,ac2g,e,291,ac2g
6083647118655.542,f,383547,383547,ac2g,e,315,ac2g
6083647118657.044,f,383547,383547,ac2g,e,316,ac2g
6083647118657.682,f,383547,383547,ac2g,e,317,ac2g
6083647118658.227,f,383547,383547,ac2g,e,318,ac2g
6083647121458.952,f,7,0,ac2g,e,326,ac2g
6083647118670.012,s,383547,383547,ac2g,,326,ac2g
6083647121481.768,f,7,0,ac2g,e,338,ac2g
6083647118734.388,s,383547,383547,ac2g,,338,ac2g
6083647121505.8,f,7,0,ac2g,e,346,ac2g
6083647118773.182,s,383547,383547,ac2g,,346,ac2g
6083647118864.552,f,383547,383547,ac2g,e,361,ac2g
6083647118867.212,f,383547,383547,ac2g,e,362,ac2g
6083647118868.139,f,383547,383547,ac2g,e,363,ac2g
6083647118869.1,f,383547,383547,ac2g,e,364,ac2g
6083647121530.152,f,7,0,ac2g,e,368,ac2g
6083647118885.902,s,383547,383547,ac2g,,368,ac2g
6083647121552.712,f,7,0,ac2g,e,370,ac2g
6083647118897.91,s,383547,383547,ac2g,,370,ac2g
6083647118907.072,f,383547,383547,ac2g,e,372,ac2g
6083647121558.536,f,7,0,ac2g,e,373,ac2g
6083647118912.003,s,383547,383547,ac2g,,373,ac2g
6083647121560.872,f,7,0,ac2g,e,374,ac2g
6083647118923.261,s,383547,383547,ac2g,,374,ac2g
6083647118932.068,f,383547,383547,ac2g,e,376,ac2g
6083647121663.752,f,7,0,ac2g,e,383,ac2g
6083647118959.654,s,383547,383547,ac2g,,383,ac2g
6083647121684.936,f,7,0,ac2g,e,389,ac2g
6083647119026.095,s,383547,383547,ac2g,,389,ac2g
6083647119101.277,f,383547,383547,ac2g,e,403,ac2g
6083647119104.017,f,383547,383547,ac2g,e,404,ac2g
6083647119105.123,f,383547,383547,ac2g,e,405,ac2g
6083647119106.147,f,383547,383547,ac2g,e,406,ac2g
6083647119141.301,f,383547,383547,ac2g,e,430,ac2g
6083647119142.707,f,383547,383547,ac2g,e,431,ac2g
6083647119143.365,f,383547,383547,ac2g,e,432,ac2g
6083647119143.966,f,383547,383547,ac2g,e,433,ac2g
6083647121688.136,f,7,0,ac2g,e,441,ac2g
6083647119155.831,s,383547,383547,ac2g,,441,ac2g
6083647121711.144,f,7,0,ac2g,e,453,ac2g
6083647119217.329,s,383547,383547,ac2g,,453,ac2g
6083647121735.208,f,7,0,ac2g,e,461,ac2g
6083647119253.887,s,383547,383547,ac2g,,461,ac2g
6083647121759.943,f,7,0,ac2g,e,480,ac2g
6083647119320.095,s,383547,383547,ac2g,,480,ac2g
6083647119427.433,f,383547,383547,ac2g,e,491,ac2g
6083647119430.334,f,383547,383547,ac2g,e,492,ac2g
6083647119431.466,f,383547,383547,ac2g,e,493,ac2g
6083647119432.601,f,383547,383547,ac2g,e,494,ac2g
6083647121781.16,f,7,0,ac2g,e,498,ac2g
6083647119451.082,s,383547,383547,ac2g,,498,ac2g
6083647121786.663,f,7,0,ac2g,e,500,ac2g
6083647119463.745,s,383547,383547,ac2g,,500,ac2g
6083647119472.832,f,383547,383547,ac2g,e,502,ac2g
6083647121794.343,f,7,0,ac2g,e,503,ac2g
6083647119478.434,s,383547,383547,ac2g,,503,ac2g
6083647119486.19,f,383547,383547,ac2g,e,505,ac2g
6083647121848.52,f,7,0,ac2g,e,512,ac2g
6083647119513.0,s,383547,383547,ac2g,,512,ac2g
6083647121856.264,f,7,0,ac2g,e,518,ac2g
6083647119568.545,s,383547,383547,ac2g,,518,ac2g
6083647119648.121,f,383547,383547,ac2g,e,532,ac2g
6083647119650.88,f,383547,383547,ac2g,e,533,ac2g
6083647119652.039,f,383547,383547,ac2g,e,534,ac2g
6083647119653.084,f,383547,383547,ac2g,e,535,ac2g
6083647119691.488,f,383547,383547,ac2g,e,559,ac2g
6083647119693.042,f,383547,383547,ac2g,e,560,ac2g
6083647119693.703,f,383547,383547,ac2g,e,561,ac2g
6083647119694.285,f,383547,383547,ac2g,e,562,ac2g
6083647119706.333,f,383547,383547,ac2g,e,570,ac2g
6083647121859.143,f,7,0,ac2g,e,571,ac2g
6083647119709.447,s,383547,383547,ac2g,,571,ac2g
6083647121871.176,f,7,0,ac2g,e,584,ac2g
6083647119773.867,s,383547,383547,ac2g,,584,ac2g
6083647121880.775,f,7,0,ac2g,e,592,ac2g
6083647119810.555,s,383547,383547,ac2g,,592,ac2g
6083647119899.892,f,383547,383547,ac2g,e,607,ac2g
6083647119902.774,f,383547,383547,ac2g,e,608,ac2g
6083647119903.771,f,383547,383547,ac2g,e,609,ac2g
6083647119904.784,f,383547,383547,ac2g,e,610,ac2g
6083647121888.263,f,7,0,ac2g,e,614,ac2g
6083647119923.05,s,383547,383547,ac2g,,614,ac2g
6083647121896.519,f,7,0,ac2g,e,616,ac2g
6083647119934.594,s,383547,383547,ac2g,,616,ac2g
6083647119943.918,f,383547,383547,ac2g,e,618,ac2g
6083647121908.583,f,7,0,ac2g,e,619,ac2g
6083647119948.496,s,383547,383547,ac2g,,619,ac2g
6083647121910.536,f,7,0,ac2g,e,620,ac2g
6083647119957.495,s,383547,383547,ac2g,,620,ac2g
6083647119964.59,f,383547,383547,ac2g,e,622,ac2g
6083647121995.367,f,7,0,ac2g,e,629,ac2g
6083647119991.281,s,383547,383547,ac2g,,629,ac2g
6083647122003.399,f,7,0,ac2g,e,635,ac2g
6083647120050.477,s,383547,383547,ac2g,,635,ac2g
6083647120123.555,f,383547,383547,ac2g,e,649,ac2g
6083647120126.329,f,383547,383547,ac2g,e,650,ac2g
6083647120127.38,f,383547,383547,ac2g,e,651,ac2g
6083647120128.315,f,383547,383547,ac2g,e,652,ac2g
6083647120167.988,f,383547,383547,ac2g,e,676,ac2g
6083647120169.458,f,383547,383547,ac2g,e,677,ac2g
6083647120170.089,f,383547,383547,ac2g,e,678,ac2g
6083647120170.676,f,383547,383547,ac2g,e,679,ac2g
6083647120181.889,f,383547,383547,ac2g,e,687,ac2g
6083647122006.119,f,7,0,ac2g,e,688,ac2g
6083647120184.747,s,383547,383547,ac2g,,688,ac2g
6083647122017.383,f,7,0,ac2g,e,701,ac2g
6083647120246.8,s,383547,383547,ac2g,,701,ac2g
6083647122026.695,f,7,0,ac2g,e,709,ac2g
6083647120282.492,s,383547,383547,ac2g,,709,ac2g
6083647120376.437,f,383547,383547,ac2g,e,724,ac2g
6083647120379.246,f,383547,383547,ac2g,e,725,ac2g
6083647120380.295,f,383547,383547,ac2g,e,726,ac2g
6083647120381.296,f,383547,383547,ac2g,e,727,ac2g
6083647122034.631,f,7,0,ac2g,e,731,ac2g
6083647120403.032,s,383547,383547,ac2g,,731,ac2g
6083647122041.895,f,7,0,ac2g,e,733,ac2g
6083647120414.983,s,383547,383547,ac2g,,733,ac2g
6083647120423.639,f,383547,383547,ac2g,e,735,ac2g
6083647122053.671,f,7,0,ac2g,e,736,ac2g
6083647120427.935,s,383547,383547,ac2g,,736,ac2g
6083647122056.007,f,7,0,ac2g,e,737,ac2g
6083647120435.759,s,383547,383547,ac2g,,737,ac2g
6083647120442.844,f,383547,383547,ac2g,e,739,ac2g
6083647122145.255,f,7,0,ac2g,e,746,ac2g
6083647120470.003,s,383547,383547,ac2g,,746,ac2g
6083647122153.735,f,7,0,ac2g,e,752,ac2g
6083647120538.446,s,383547,383547,ac2g,,752,ac2g
6083647120610.689,f,383547,383547,ac2g,e,766,ac2g
6083647120613.28,f,383547,383547,ac2g,e,767,ac2g
6083647120614.449,f,383547,383547,ac2g,e,768,ac2g
6083647120615.411,f,383547,383547,ac2g,e,769,ac2g
6083647120650.758,f,383547,383547,ac2g,e,793,ac2g
6083647120652.225,f,383547,383547,ac2g,e,794,ac2g
6083647120652.904,f,383547,383547,ac2g,e,795,ac2g
6083647120653.539,f,383547,383547,ac2g,e,796,ac2g
6083647120665.093,f,383547,383547,ac2g,e,804,ac2g
6083647122156.423,f,7,0,ac2g,e,805,ac2g
6083647120667.914,s,383547,383547,ac2g,,805,ac2g
6083647122167.367,f,7,0,ac2g,e,818,ac2g
6083647120728.934,s,383547,383547,ac2g,,818,ac2g
6083647122176.583,f,7,0,ac2g,e,826,ac2g
6083647120765.379,s,383547,383547,ac2g,,826,ac2g
6083647122184.423,f,7,0,ac2g,e,845,ac2g
6083647120833.654,s,383547,383547,ac2g,,845,ac2g
6083647120936.164,f,383547,383547,ac2g,e,856,ac2g
6083647120938.908,f,383547,383547,ac2g,e,857,ac2g
6083647120939.983,f,383547,383547,ac2g,e,858,ac2g
6083647120941.067,f,383547,383547,ac2g,e,859,ac2g
6083647122191.847,f,7,0,ac2g,e,863,ac2g
6083647120960.742,s,383547,383547,ac2g,,863,ac2g
6083647122195.111,f,7,0,ac2g,e,865,ac2g
6083647120973.48,s,383547,383547,ac2g,,865,ac2g
6083647120982.98,f,383547,383547,ac2g,e,867,ac2g
6083647120985.676,f,383547,383547,ac2g,e,868,ac2g
6083647122214.695,f,7,0,ac2g,e,869,ac2g
6083647120987.36,s,383547,383547,ac2g,,869,ac2g
6083647120995.589,f,383547,383547,ac2g,e,872,ac2g
6083647122266.631,f,7,0,ac2g,e,873,ac2g
6083647120998.156,s,383547,383547,ac2g,,873,ac2g
6083647122270.855,f,7,0,ac2g,e,881,ac2g
6083647121030.825,s,383547,383547,ac2g,,881,ac2g
6083647122276.135,f,7,0,ac2g,e,887,ac2g
6083647121088.401,s,383547,383547,ac2g,,887,ac2g
6083647121162.18,f,383547,383547,ac2g,e,901,ac2g
6083647121164.765,f,383547,383547,ac2g,e,902,ac2g
6083647121165.914,f,383547,383547,ac2g,e,903,ac2g
6083647121166.924,f,383547,383547,ac2g,e,904,ac2g
6083647121202.857,f,383547,383547,ac2g,e,928,ac2g
6083647121204.364,f,383547,383547,ac2g,e,929,ac2g
6083647121205.103,f,383547,383547,ac2g,e,930,ac2g
6083647121205.841,f,383547,383547,ac2g,e,931,ac2g
6083647121217.144,f,383547,383547,ac2g,e,939,ac2g
6083647122278.503,f,7,0,ac2g,e,940,ac2g
6083647121219.737,s,383547,383547,ac2g,,940,ac2g
6083647122289.159,f,7,0,ac2g,e,953,ac2g
6083647121289.13,s,383547,383547,ac2g,,953,ac2g
6083647122292.423,f,7,0,ac2g,e,961,ac2g
6083647121327.08,s,383547,383547,ac2g,,961,ac2g
6083647121415.543,f,383547,383547,ac2g,e,976,ac2g
6083647121418.205,f,383547,383547,ac2g,e,977,ac2g
6083647121419.212,f,383547,383547,ac2g,e,978,ac2g
6083647121420.228,f,383547,383547,ac2g,e,979,ac2g
6083647122295.591,f,7,0,ac2g,e,983,ac2g
6083647121438.611,s,383547,383547,ac2g,,983,ac2g
6083647122299.366,f,7,0,ac2g,e,985,ac2g
6083647121450.242,s,383547,383547,ac2g,,985,ac2g
6083647121458.82,f,383547,383547,ac2g,e,987,ac2g
6083647121460.429,f,383547,383547,ac2g,e,988,ac2g
6083647122333.959,f,7,0,ac2g,e,989,ac2g
6083647121461.876,s,383547,383547,ac2g,,989,ac2g
6083647121469.651,f,383547,383547,ac2g,e,992,ac2g
6083647122430.854,f,7,0,ac2g,e,993,ac2g
6083647121471.93,s,383547,383547,ac2g,,993,ac2g
6083647122435.11,f,7,0,ac2g,e,1001,ac2g
6083647121502.777,s,383547,383547,ac2g,,1001,ac2g
6083647122440.07,f,7,0,ac2g,e,1007,ac2g
6083647121568.107,s,383547,383547,ac2g,,1007,ac2g
6083647121641.051,f,383547,383547,ac2g,e,1021,ac2g
6083647121643.659,f,383547,383547,ac2g,e,1022,ac2g
6083647121644.804,f,383547,383547,ac2g,e,1023,ac2g
6083647121645.759,f,383547,383547,ac2g,e,1024,ac2g
6083647121682.09,f,383547,383547,ac2g,e,1048,ac2g
6083647121683.591,f,383547,383547,ac2g,e,1049,ac2g
6083647121684.405,f,383547,383547,ac2g,e,1050,ac2g
6083647121685.051,f,383547,383547,ac2g,e,1051,ac2g
6083647121699.715,f,383547,383547,ac2g,e,1059,ac2g
6083647122442.47,f,7,0,ac2g,e,1060,ac2g
6083647121702.269,s,383547,383547,ac2g,,1060,ac2g
6083647122453.062,f,7,0,ac2g,e,1073,ac2g
6083647121762.539,s,383547,383547,ac2g,,1073,ac2g
6083647122456.326,f,7,0,ac2g,e,1081,ac2g
6083647121798.588,s,383547,383547,ac2g,,1081,ac2g
6083647121896.771,f,383547,383547,ac2g,e,1096,ac2g
6083647121899.493,f,383547,383547,ac2g,e,1097,ac2g
6083647121900.532,f,383547,383547,ac2g,e,1098,ac2g
6083647121901.49,f,383547,383547,ac2g,e,1099,ac2g
6083647122459.494,f,7,0,ac2g,e,1103,ac2g
6083647121919.199,s,383547,383547,ac2g,,1103,ac2g
6083647122463.27,f,7,0,ac2g,e,1105,ac2g
6083647121931.067,s,383547,383547,ac2g,,1105,ac2g
6083647121939.289,f,383547,383547,ac2g,e,1107,ac2g
6083647121940.885,f,383547,383547,ac2g,e,1108,ac2g
6083647122498.054,f,7,0,ac2g,e,1109,ac2g
6083647121942.229,s,383547,383547,ac2g,,1109,ac2g
6083647121948.166,f,383547,383547,ac2g,e,1112,ac2g
6083647122594.47,f,7,0,ac2g,e,1113,ac2g
6083647121950.413,s,383547,383547,ac2g,,1113,ac2g
6083647122598.566,f,7,0,ac2g,e,1121,ac2g
6083647121980.395,s,383547,383547,ac2g,,1121,ac2g
6083647122603.526,f,7,0,ac2g,e,1127,ac2g
6083647122037.551,s,383547,383547,ac2g,,1127,ac2g
6083647122108.882,f,383547,383547,ac2g,e,1141,ac2g
6083647122111.355,f,383547,383547,ac2g,e,1142,ac2g
6083647122112.539,f,383547,383547,ac2g,e,1143,ac2g
6083647122113.458,f,383547,383547,ac2g,e,1144,ac2g
6083647122153.936,f,383547,383547,ac2g,e,1168,ac2g
6083647122155.448,f,383547,383547,ac2g,e,1169,ac2g
6083647122156.134,f,383547,383547,ac2g,e,1170,ac2g
6083647122156.767,f,383547,383547,ac2g,e,1171,ac2g
6083647122168.242,f,383547,383547,ac2g,e,1179,ac2g
6083647122605.894,f,7,0,ac2g,e,1180,ac2g
6083647122170.763,s,383547,383547,ac2g,,1180,ac2g
6083647122616.646,f,7,0,ac2g,e,1193,ac2g
6083647122240.409,s,383547,383547,ac2g,,1193,ac2g
6083647122619.974,f,7,0,ac2g,e,1201,ac2g
6083647122276.554,s,383547,383547,ac2g,,1201,ac2g
6083647122623.142,f,7,0,ac2g,e,1220,ac2g
6083647122345.29,s,383547,383547,ac2g,,1220,ac2g
6083647122442.859,f,383547,383547,ac2g,e,1231,ac2g
6083647122445.681,f,383547,383547,ac2g,e,1232,ac2g
6083647122446.769,f,383547,383547,ac2g,e,1233,ac2g
6083647122447.732,f,383547,383547,ac2g,e,1234,ac2g
6083647122627.942,f,7,0,ac2g,e,1238,ac2g
6083647122466.42,s,383547,383547,ac2g,,1238,ac2g
6083647122630.854,f,7,0,ac2g,e,1240,ac2g
6083647122478.115,s,383547,383547,ac2g,,1240,ac2g
6083647122487.395,f,383547,383547,ac2g,e,1242,ac2g
6083647122665.734,f,7,0,ac2g,e,1243,ac2g
6083647122491.814,s,383547,383547,ac2g,,1243,ac2g
6083647122500.587,f,383547,383547,ac2g,e,1244,ac2g
6083647122502.185,f,383547,383547,ac2g,e,1245,ac2g
6083647122667.27,f,7,0,ac2g,e,1246,ac2g
6083647122503.144,s,383547,383547,ac2g,,1246,ac2g
6083647122511.709,f,383547,383547,ac2g,e,1248,ac2g
6083647122706.406,f,7,0,ac2g,e,1249,ac2g
6083647122514.355,s,383547,383547,ac2g,,1249,ac2g
6083647122710.054,f,7,0,ac2g,e,1257,ac2g
6083647122547.541,s,383547,383547,ac2g,,1257,ac2g
6083647122713.894,f,7,0,ac2g,e,1263,ac2g
6083647122605.203,s,383547,383547,ac2g,,1263,ac2g
6083647122679.267,f,383547,383547,ac2g,e,1277,ac2g
6083647122681.918,f,383547,383547,ac2g,e,1278,ac2g
6083647122683.026,f,383547,383547,ac2g,e,1279,ac2g
6083647122684.039,f,383547,383547,ac2g,e,1280,ac2g
6083647122724.111,f,383547,383547,ac2g,e,1304,ac2g
6083647122725.867,f,383547,383547,ac2g,e,1305,ac2g
6083647122726.491,f,383547,383547,ac2g,e,1306,ac2g
6083647122727.126,f,383547,383547,ac2g,e,1307,ac2g
6083647122738.303,f,383547,383547,ac2g,e,1315,ac2g
6083647127310.301,f,7,0,ac2g,e,1316,ac2g
6083647122740.881,s,383547,383547,ac2g,,1316,ac2g
6083647127320.958,f,7,0,ac2g,e,1329,ac2g
6083647122805.923,s,383547,383547,ac2g,,1329,ac2g
6083647127323.901,f,7,0,ac2g,e,1337,ac2g
6083647122842.761,s,383547,383547,ac2g,,1337,ac2g
6083647122932.135,f,383547,383547,ac2g,e,1352,ac2g
6083647122934.926,f,383547,383547,ac2g,e,1353,ac2g
6083647122936.031,f,383547,383547,ac2g,e,1354,ac2g
6083647122937.05,f,383547,383547,ac2g,e,1355,ac2g
6083647127326.397,f,7,0,ac2g,e,1359,ac2g
6083647122954.441,s,383547,383547,ac2g,,1359,ac2g
6083647127329.405,f,7,0,ac2g,e,1361,ac2g
6083647122966.672,s,383547,383547,ac2g,,1361,ac2g
6083647122975.271,f,383547,383547,ac2g,e,1363,ac2g
6083647127364.285,f,7,0,ac2g,e,1364,ac2g
6083647122979.38,s,383547,383547,ac2g,,1364,ac2g
6083647122987.431,f,383547,383547,ac2g,e,1365,ac2g
6083647122989.237,f,383547,383547,ac2g,e,1366,ac2g
6083647127366.621,f,7,0,ac2g,e,1367,ac2g
6083647122990.23,s,383547,383547,ac2g,,1367,ac2g
6083647122997.201,f,383547,383547,ac2g,e,1369,ac2g
6083647127405.949,f,7,0,ac2g,e,1370,ac2g
6083647122999.45,s,383547,383547,ac2g,,1370,ac2g
6083647127409.629,f,7,0,ac2g,e,1378,ac2g
6083647123031.847,s,383547,383547,ac2g,,1378,ac2g
6083647127413.277,f,7,0,ac2g,e,1384,ac2g
6083647123087.101,s,383547,383547,ac2g,,1384,ac2g
6083647123158.799,f,383547,383547,ac2g,e,1398,ac2g
6083647123161.413,f,383547,383547,ac2g,e,1399,ac2g
6083647123162.464,f,383547,383547,ac2g,e,1400,ac2g
6083647123163.457,f,383547,383547,ac2g,e,1401,ac2g
6083647123202.03,f,383547,383547,ac2g,e,1425,ac2g
6083647123203.488,f,383547,383547,ac2g,e,1426,ac2g
6083647123204.098,f,383547,383547,ac2g,e,1427,ac2g
6083647123204.695,f,383547,383547,ac2g,e,1428,ac2g
6083647123216.052,f,383547,383547,ac2g,e,1436,ac2g
6083647127415.645,f,7,0,ac2g,e,1437,ac2g
6083647123218.6,s,383547,383547,ac2g,,1437,ac2g
6083647127425.117,f,7,0,ac2g,e,1450,ac2g
6083647123279.57,s,383547,383547,ac2g,,1450,ac2g
6083647127427.581,f,7,0,ac2g,e,1458,ac2g
6083647123315.579,s,383547,383547,ac2g,,1458,ac2g
6083647123407.272,f,383547,383547,ac2g,e,1473,ac2g
6083647123409.911,f,383547,383547,ac2g,e,1474,ac2g
6083647123410.922,f,383547,383547,ac2g,e,1475,ac2g
6083647123411.86,f,383547,383547,ac2g,e,1476,ac2g
6083647127430.109,f,7,0,ac2g,e,1480,ac2g
6083647123429.186,s,383547,383547,ac2g,,1480,ac2g
6083647127433.469,f,7,0,ac2g,e,1482,ac2g
6083647123440.78,s,383547,383547,ac2g,,1482,ac2g
6083647123449.314,f,383547,383547,ac2g,e,1484,ac2g
6083647127467.709,f,7,0,ac2g,e,1485,ac2g
6083647123453.272,s,383547,383547,ac2g,,1485,ac2g
6083647123460.803,f,383547,383547,ac2g,e,1486,ac2g
6083647123462.452,f,383547,383547,ac2g,e,1487,ac2g
6083647127469.981,f,7,0,ac2g,e,1488,ac2g
6083647123463.518,s,383547,383547,ac2g,,1488,ac2g
6083647123471.019,f,383547,383547,ac2g,e,1490,ac2g
6083647127509.629,f,7,0,ac2g,e,1491,ac2g
6083647123473.241,s,383547,383547,ac2g,,1491,ac2g
6083647127512.861,f,7,0,ac2g,e,1499,ac2g
6083647123504.775,s,383547,383547,ac2g,,1499,ac2g
6083647127516.541,f,7,0,ac2g,e,1505,ac2g
6083647123560.444,s,383547,383547,ac2g,,1505,ac2g
6083647123635.619,f,383547,383547,ac2g,e,1519,ac2g
6083647123638.174,f,383547,383547,ac2g,e,1520,ac2g
6083647123639.264,f,383547,383547,ac2g,e,1521,ac2g
6083647123640.228,f,383547,383547,ac2g,e,1522,ac2g
6083647123675.044,f,383547,383547,ac2g,e,1546,ac2g
6083647123676.297,f,383547,383547,ac2g,e,1547,ac2g
6083647123676.951,f,383547,383547,ac2g,e,1548,ac2g
6083647123677.601,f,383547,383547,ac2g,e,1549,ac2g
6083647123688.778,f,383547,383547,ac2g,e,1557,ac2g
6083647127518.909,f,7,0,ac2g,e,1558,ac2g
6083647123691.456,s,383547,383547,ac2g,,1558,ac2g
6083647127528.477,f,7,0,ac2g,e,1571,ac2g
6083647123759.633,s,383547,383547,ac2g,,1571,ac2g
6083647127531.005,f,7,0,ac2g,e,1579,ac2g
6083647123809.299,s,383547,383547,ac2g,,1579,ac2g
6083647127533.533,f,7,0,ac2g,e,1598,ac2g
6083647123879.29,s,383547,383547,ac2g,,1598,ac2g
6083647127537.117,f,7,0,ac2g,e,1617,ac2g
6083647124058.803,s,383547,383547,ac2g,,1617,ac2g
6083647124164.1,f,383547,383547,ac2g,e,1642,ac2g
6083647124167.843,f,383547,383547,ac2g,e,1646,ac2g
6083647128230.94,f,7,0,ac2g,e,1648,ac2g
6083647124175.752,s,383547,383547,ac2g,,1648,ac2g
6083647128234.14,f,7,0,ac2g,e,1667,ac2g
6083647124272.384,s,383547,383547,ac2g,,1667,ac2g
6083647124344.563,f,383547,383547,ac2g,e,1692,ac2g
6083647124348.076,f,383547,383547,ac2g,e,1696,ac2g
6083647128350.779,f,7,0,ac2g,e,1698,ac2g
6083647124353.302,s,383547,383547,ac2g,,1698,ac2g
6083647128354.875,f,7,0,ac2g,e,1717,ac2g
6083647124443.114,s,383547,383547,ac2g,,1717,ac2g
6083647124856.674,s,383547,383547,ac2g,,1723,ac2g
